0.001000, 0.000796
0.002000, 0.000796
0.003000, 0.000796
0.004000, 0.000796
0.005000, 0.000796
0.006000, 0.000796
0.007000, 0.000796
0.008000, 0.000796
0.009000, 0.000796
0.010000, 0.000796
0.011000, 0.000796
0.012000, 0.000796
0.013000, 0.000796
0.014000, 0.000796
0.015000, 0.000796
0.016000, 0.000796
0.017000, 0.000796
0.018000, 0.000796
0.019000, 0.000796
0.020000, 0.000796
0.021000, 0.000796
0.022000, 0.000796
0.023000, 0.000796
0.024000, 0.000796
0.025000, 0.000796
0.026000, 0.000796
0.027000, 0.000796
0.028000, 0.000796
0.029000, 0.000796
0.030000, 0.000796
0.031000, 0.000796
0.032000, 0.000796
0.033000, 0.000796
0.034000, 0.000796
0.035000, 0.000796
0.036000, 0.000796
0.037000, 0.000796
0.038000, 0.000796
0.039000, 0.000796
0.040000, 0.000796
0.041000, 0.000796
0.042000, 0.000796
0.043000, 0.000796
0.044000, 0.000796
0.045000, 0.000796
0.046000, 0.000796
0.047000, 0.000796
0.048000, 0.000796
0.049000, 0.000796
0.050000, 0.000796
0.051000, 0.000796
0.052000, 0.000796
0.053000, 0.000796
0.054000, 0.000796
0.055000, 0.000796
0.056000, 0.000796
0.057000, 0.000796
0.058000, 0.000796
0.059000, 0.000796
0.060000, 0.000796
0.061000, 0.000796
0.062000, 0.000796
0.063000, 0.000796
0.064000, 0.000796
0.065000, 0.000796
0.066000, 0.000796
0.067000, 0.000796
0.068000, 0.000796
0.069000, 0.000796
0.070000, 0.000796
0.071000, 0.000796
0.072000, 0.000796
0.073000, 0.000796
0.074000, 0.000796
0.075000, 0.000796
0.076000, 0.000796
0.077000, 0.000796
0.078000, 0.000796
0.079000, 0.000796
0.080000, 0.000796
0.081000, 0.000796
0.082000, 0.000796
0.083000, 0.000796
0.084000, 0.000796
0.085000, 0.000796
0.086000, 0.000796
0.087000, 0.000796
0.088000, 0.000796
0.089000, 0.000796
0.090000, 0.000796
0.091000, 0.000796
0.092000, 0.000796
0.093000, 0.000796
0.094000, 0.000796
0.095000, 0.000796
0.096000, 0.000796
0.097000, 0.000796
0.098000, 0.000796
0.099000, 0.000796
0.100000, 0.000796
0.101000, 0.000796
0.102000, 0.000796
0.103000, 0.000796
0.104000, 0.000796
0.105000, 0.000796
0.106000, 0.000796
0.107000, 0.000796
0.108000, 0.000796
0.109000, 0.000796
0.110000, 0.000796
0.111000, 0.000796
0.112000, 0.000796
0.113000, 0.000796
0.114000, 0.000796
0.115000, 0.000796
0.116000, 0.000796
0.117000, 0.000796
0.118000, 0.000796
0.119000, 0.000796
0.120000, 0.000796
0.121000, 0.000796
0.122000, 0.000796
0.123000, 0.000796
0.124000, 0.000796
0.125000, 0.000796
0.126000, 0.000796
0.127000, 0.000796
0.128000, 0.000796
0.129000, 0.000796
0.130000, 0.000796
0.131000, 0.000796
0.132000, 0.000796
0.133000, 0.000796
0.134000, 0.000796
0.135000, 0.000796
0.136000, 0.000796
0.137000, 0.000796
0.138000, 0.000796
0.139000, 0.000796
0.140000, 0.000796
0.141000, 0.000796
0.142000, 0.000796
0.143000, 0.000796
0.144000, 0.000796
0.145000, 0.000796
0.146000, 0.000796
0.147000, 0.000796
0.148000, 0.000796
0.149000, 0.000796
0.150000, 0.000796
0.151000, 0.000796
0.152000, 0.000796
0.153000, 0.000796
0.154000, 0.000796
0.155000, 0.000796
0.156000, 0.000796
0.157000, 0.000796
0.158000, 0.000796
0.159000, 0.000796
0.160000, 0.000796
0.161000, 0.000796
0.162000, 0.000796
0.163000, 0.000796
0.164000, 0.000796
0.165000, 0.000796
0.166000, 0.000796
0.167000, 0.000796
0.168000, 0.000796
0.169000, 0.000796
0.170000, 0.000796
0.171000, 0.000796
0.172000, 0.000796
0.173000, 0.000796
0.174000, 0.000796
0.175000, 0.000796
0.176000, 0.000796
0.177000, 0.000796
0.178000, 0.000796
0.179000, 0.000796
0.180000, 0.000796
0.181000, 0.000796
0.182000, 0.000796
0.183000, 0.000796
0.184000, 0.000796
0.185000, 0.000796
0.186000, 0.000796
0.187000, 0.000796
0.188000, 0.000796
