0.001000, 0.000969
 0.002000, 0.000969
 0.003000, 0.000969
 0.004000, 0.000969
 0.005000, 0.000969
 0.006000, 0.000969
 0.007000, 0.000969
 0.008000, 0.000969
 0.009000, 0.000969
 0.010000, 0.000969
 0.011000, 0.000969
 0.012000, 0.000969
 0.013000, 0.000969
 0.014000, 0.000969
 0.015000, 0.000969
 0.016000, 0.000969
 0.017000, 0.000969
 0.018000, 0.000969
 0.019000, 0.000969
 0.020000, 0.000969
 0.021000, 0.000969
 0.022000, 0.000969
 0.023000, 0.000969
 0.024000, 0.000968
 0.025000, 0.000968
 0.026000, 0.000968
 0.027000, 0.000968
 0.028000, 0.000968
 0.029000, 0.000968
 0.030000, 0.000968
 0.031000, 0.000968
 0.032000, 0.000968
 0.033000, 0.000968
 0.034000, 0.000968
 0.035000, 0.000968
 0.036000, 0.000968
 0.037000, 0.000968
 0.038000, 0.000968
 0.039000, 0.000968
 0.040000, 0.000968
 0.041000, 0.000968
 0.042000, 0.000968
 0.043000, 0.000968
 0.044000, 0.000968
 0.045000, 0.000968
 0.046000, 0.000968
 0.047000, 0.000968
 0.048000, 0.000968
 0.049000, 0.000968
 0.050000, 0.000968
 0.051000, 0.000968
 0.052000, 0.000968
 0.053000, 0.000968
 0.054000, 0.000968
 0.055000, 0.000968
 0.056000, 0.000968
 0.057000, 0.000968
 0.058000, 0.000968
 0.059000, 0.000968
 0.060000, 0.000968
 0.061000, 0.000968
 0.062000, 0.000969
 0.063000, 0.000969
 0.064000, 0.000969
 0.065000, 0.000969
 0.066000, 0.000969
 0.067000, 0.000969
 0.068000, 0.000969
 0.069000, 0.000969
 0.070000, 0.000969
 0.071000, 0.000969
 0.072000, 0.000969
 0.073000, 0.000969
 0.074000, 0.000969
 0.075000, 0.000968
 0.076000, 0.000968
 0.077000, 0.000968
 0.078000, 0.000968
 0.079000, 0.000968
 0.080000, 0.000969
 0.081000, 0.000968
 0.082000, 0.000968
 0.083000, 0.000968
 0.084000, 0.000968
 0.085000, 0.000968
 0.086000, 0.000968
 0.087000, 0.000968
 0.088000, 0.000968
 0.089000, 0.000968
 0.090000, 0.000968
 0.091000, 0.000968
 0.092000, 0.000968
 0.093000, 0.000969
 0.094000, 0.000968
 0.095000, 0.000968
 0.096000, 0.000968
 0.097000, 0.000968
 0.098000, 0.000968
 0.099000, 0.000968
 0.100000, 0.000969
 0.101000, 0.000969
 0.102000, 0.000969
 0.103000, 0.000969
 0.104000, 0.000969
 0.105000, 0.000969
 0.106000, 0.000969
 0.107000, 0.000969
 0.108000, 0.000969
 0.109000, 0.000969
 0.110000, 0.000969
 0.111000, 0.000969
 0.112000, 0.000969
 0.113000, 0.000968
 0.114000, 0.000968
 0.115000, 0.000968
 0.116000, 0.000968
 0.117000, 0.000968
 0.118000, 0.000968
 0.119000, 0.000969
 0.120000, 0.000968
 0.121000, 0.000968
 0.122000, 0.000968
 0.123000, 0.000968
 0.124000, 0.000968
 0.125000, 0.000968
 0.126000, 0.000968
 0.127000, 0.000968
 0.128000, 0.000968
 0.129000, 0.000968
 0.130000, 0.000968
 0.131000, 0.000968
 0.132000, 0.000969
 0.133000, 0.000968
 0.134000, 0.000968
 0.135000, 0.000968
 0.136000, 0.000968
 0.137000, 0.000968
 0.138000, 0.000969
 0.139000, 0.000969
 0.140000, 0.000969
 0.141000, 0.000969
 0.142000, 0.000969
 0.143000, 0.000969
 0.144000, 0.000969
 0.145000, 0.000969
 0.146000, 0.000969
 0.147000, 0.000969
 0.148000, 0.000969
 0.149000, 0.000969
 0.150000, 0.000968
 0.151000, 0.000968
 0.152000, 0.000968
 0.153000, 0.000968
 0.154000, 0.000968
 0.155000, 0.000968
 0.156000, 0.000968
 0.157000, 0.000968
 0.158000, 0.000969
 0.159000, 0.000968
 0.160000, 0.000968
 0.161000, 0.000968
 0.162000, 0.000968
 0.163000, 0.000968
 0.164000, 0.000968
 0.165000, 0.000968
 0.166000, 0.000968
 0.167000, 0.000968
 0.168000, 0.000968
 0.169000, 0.000968
 0.170000, 0.000968
 0.171000, 0.000969
 0.172000, 0.000968
 0.173000, 0.000968
 0.174000, 0.000968
 0.175000, 0.000969
 0.176000, 0.000969
 0.177000, 0.000969
 0.178000, 0.000969
 0.179000, 0.000969
 0.180000, 0.000969
 0.181000, 0.000969
 0.182000, 0.000969
 0.183000, 0.000969
 0.184000, 0.000969
 0.185000, 0.000969
 0.186000, 0.000969
 0.187000, 0.000969
 0.188000, 0.000968
 0.189000, 0.000968
 0.190000, 0.000968
 0.191000, 0.000968
 0.192000, 0.000968
 0.193000, 0.000968
 0.194000, 0.000968
 0.195000, 0.000968
 0.196000, 0.000968
 0.197000, 0.000968
 0.198000, 0.000968
 0.199000, 0.000968
 0.200000, 0.000968
 0.201000, 0.000968
 0.202000, 0.000968
 0.203000, 0.000968
 0.204000, 0.000968
 0.205000, 0.000968
 0.206000, 0.000968
 0.207000, 0.000968
 0.208000, 0.000968
 0.209000, 0.000968
 0.210000, 0.000968
 0.211000, 0.000968
 0.212000, 0.000968
 0.213000, 0.000969
 0.214000, 0.000969
 0.215000, 0.000969
 0.216000, 0.000969
 0.217000, 0.000969
 0.218000, 0.000969
 0.219000, 0.000969
 0.220000, 0.000969
 0.221000, 0.000969
 0.222000, 0.000969
 0.223000, 0.000969
 0.224000, 0.000969
 0.225000, 0.000969
 0.226000, 0.000968
 0.227000, 0.000968
 0.228000, 0.000968
 0.229000, 0.000968
 0.230000, 0.000968
 0.231000, 0.000968
 0.232000, 0.000968
