0.001000, 0.670119
 0.002000, 0.670119
 0.003000, 0.670119
 0.004000, 0.670118
 0.005000, 0.670119
 0.006000, 0.670119
 0.007000, 0.670119
 0.008000, 0.670119
 0.009000, 0.670119
 0.010000, 0.670119
 0.011000, 0.670119
 0.012000, 0.670118
 0.013000, 0.670119
 0.014000, 0.670119
 0.015000, 0.670119
 0.016000, 0.670119
 0.017000, 0.670119
 0.018000, 0.670119
 0.019000, 0.670119
 0.020000, 0.670119
 0.021000, 0.670119
 0.022000, 0.670119
 0.023000, 0.670119
 0.024000, 0.670119
 0.025000, 0.670119
 0.026000, 0.670119
 0.027000, 0.670120
 0.028000, 0.670119
 0.029000, 0.670119
 0.030000, 0.670119
 0.031000, 0.670119
 0.032000, 0.670119
 0.033000, 0.670119
 0.034000, 0.670120
 0.035000, 0.670120
 0.036000, 0.670119
 0.037000, 0.670119
 0.038000, 0.670119
 0.039000, 0.670119
 0.040000, 0.670119
 0.041000, 0.670120
 0.042000, 0.670120
 0.043000, 0.670120
 0.044000, 0.670119
 0.045000, 0.670119
 0.046000, 0.670119
 0.047000, 0.670119
 0.048000, 0.670119
 0.049000, 0.670120
 0.050000, 0.670120
 0.051000, 0.670120
 0.052000, 0.670119
 0.053000, 0.670119
 0.054000, 0.670119
 0.055000, 0.670119
 0.056000, 0.670120
 0.057000, 0.670120
 0.058000, 0.670120
 0.059000, 0.670120
 0.060000, 0.670119
 0.061000, 0.670119
 0.062000, 0.670119
 0.063000, 0.670119
 0.064000, 0.670120
 0.065000, 0.670120
 0.066000, 0.670120
 0.067000, 0.670120
 0.068000, 0.670119
 0.069000, 0.670119
 0.070000, 0.670119
 0.071000, 0.670119
 0.072000, 0.670120
 0.073000, 0.670120
 0.074000, 0.670120
 0.075000, 0.670120
 0.076000, 0.670119
 0.077000, 0.670119
 0.078000, 0.670119
 0.079000, 0.670120
 0.080000, 0.670120
 0.081000, 0.670120
 0.082000, 0.670120
 0.083000, 0.670120
 0.084000, 0.670119
 0.085000, 0.670119
 0.086000, 0.670120
 0.087000, 0.670120
 0.088000, 0.670120
 0.089000, 0.670120
 0.090000, 0.670120
 0.091000, 0.670120
 0.092000, 0.670119
 0.093000, 0.670119
 0.094000, 0.670120
 0.095000, 0.670120
 0.096000, 0.670120
 0.097000, 0.670120
 0.098000, 0.670120
 0.099000, 0.670120
 0.100000, 0.670119
 0.101000, 0.670119
 0.102000, 0.670120
 0.103000, 0.670120
 0.104000, 0.670120
 0.105000, 0.670120
 0.106000, 0.670120
 0.107000, 0.670120
 0.108000, 0.670119
 0.109000, 0.670120
 0.110000, 0.670120
 0.111000, 0.670120
 0.112000, 0.670120
 0.113000, 0.670120
 0.114000, 0.670120
 0.115000, 0.670120
 0.116000, 0.670119
 0.117000, 0.670120
 0.118000, 0.670120
 0.119000, 0.670120
 0.120000, 0.670120
 0.121000, 0.670120
 0.122000, 0.670120
 0.123000, 0.670120
 0.124000, 0.670119
 0.125000, 0.670120
 0.126000, 0.670120
 0.127000, 0.670120
 0.128000, 0.670120
