0.001000, 1.224872
 0.002000, 1.224872
 0.003000, 1.224872
 0.004000, 1.224873
 0.005000, 1.224872
 0.006000, 1.224872
 0.007000, 1.224872
 0.008000, 1.224872
 0.009000, 1.224873
 0.010000, 1.224872
 0.011000, 1.224872
 0.012000, 1.224872
 0.013000, 1.224872
 0.014000, 1.224873
 0.015000, 1.224872
 0.016000, 1.224872
 0.017000, 1.224872
 0.018000, 1.224872
 0.019000, 1.224873
 0.020000, 1.224872
 0.021000, 1.224872
 0.022000, 1.224872
 0.023000, 1.224872
 0.024000, 1.224873
 0.025000, 1.224872
 0.026000, 1.224872
 0.027000, 1.224872
 0.028000, 1.224872
 0.029000, 1.224873
 0.030000, 1.224872
 0.031000, 1.224872
 0.032000, 1.224872
 0.033000, 1.224872
 0.034000, 1.224873
 0.035000, 1.224872
 0.036000, 1.224872
 0.037000, 1.224872
 0.038000, 1.224872
 0.039000, 1.224873
 0.040000, 1.224872
 0.041000, 1.224872
 0.042000, 1.224872
 0.043000, 1.224872
 0.044000, 1.224873
 0.045000, 1.224872
 0.046000, 1.224872
 0.047000, 1.224872
 0.048000, 1.224872
 0.049000, 1.224873
 0.050000, 1.224872
 0.051000, 1.224872
 0.052000, 1.224872
 0.053000, 1.224872
 0.054000, 1.224873
 0.055000, 1.224872
 0.056000, 1.224872
 0.057000, 1.224872
 0.058000, 1.224872
 0.059000, 1.224873
 0.060000, 1.224872
 0.061000, 1.224872
 0.062000, 1.224872
 0.063000, 1.224872
 0.064000, 1.224873
 0.065000, 1.224872
 0.066000, 1.224872
 0.067000, 1.224872
 0.068000, 1.224872
 0.069000, 1.224873
 0.070000, 1.224872
 0.071000, 1.224872
 0.072000, 1.224872
 0.073000, 1.224872
 0.074000, 1.224873
 0.075000, 1.224872
 0.076000, 1.224872
 0.077000, 1.224872
 0.078000, 1.224872
 0.079000, 1.224872
 0.080000, 1.224872
 0.081000, 1.224873
 0.082000, 1.224872
 0.083000, 1.224872
 0.084000, 1.224872
 0.085000, 1.224872
 0.086000, 1.224873
 0.087000, 1.224872
 0.088000, 1.224872
 0.089000, 1.224872
 0.090000, 1.224872
 0.091000, 1.224873
 0.092000, 1.224872
