0.001000, 1.202322
 0.002000, 1.202321
 0.003000, 1.202321
 0.004000, 1.202321
 0.005000, 1.202321
 0.006000, 1.202321
 0.007000, 1.202321
 0.008000, 1.202321
 0.009000, 1.202321
 0.010000, 1.202321
 0.011000, 1.202321
 0.012000, 1.202321
 0.013000, 1.202321
 0.014000, 1.202321
 0.015000, 1.202321
 0.016000, 1.202321
 0.017000, 1.202321
 0.018000, 1.202321
 0.019000, 1.202321
 0.020000, 1.202320
 0.021000, 1.202321
 0.022000, 1.202320
 0.023000, 1.202321
 0.024000, 1.202321
 0.025000, 1.202320
 0.026000, 1.202321
 0.027000, 1.202320
 0.028000, 1.202321
 0.029000, 1.202320
 0.030000, 1.202320
 0.031000, 1.202321
 0.032000, 1.202320
 0.033000, 1.202321
 0.034000, 1.202320
 0.035000, 1.202320
 0.036000, 1.202320
 0.037000, 1.202320
 0.038000, 1.202321
 0.039000, 1.202320
 0.040000, 1.202320
 0.041000, 1.202320
 0.042000, 1.202320
 0.043000, 1.202320
 0.044000, 1.202320
 0.045000, 1.202320
 0.046000, 1.202320
 0.047000, 1.202320
 0.048000, 1.202320
 0.049000, 1.202320
 0.050000, 1.202319
 0.051000, 1.202320
 0.052000, 1.202319
 0.053000, 1.202320
 0.054000, 1.202320
 0.055000, 1.202319
 0.056000, 1.202320
 0.057000, 1.202319
 0.058000, 1.202320
 0.059000, 1.202319
 0.060000, 1.202319
 0.061000, 1.202320
 0.062000, 1.202319
 0.063000, 1.202320
 0.064000, 1.202319
 0.065000, 1.202320
 0.066000, 1.202319
 0.067000, 1.202319
 0.068000, 1.202320
 0.069000, 1.202319
 0.070000, 1.202320
 0.071000, 1.202319
 0.072000, 1.202319
 0.073000, 1.202319
 0.074000, 1.202319
 0.075000, 1.202319
 0.076000, 1.202319
 0.077000, 1.202319
 0.078000, 1.202319
 0.079000, 1.202319
 0.080000, 1.202319
 0.081000, 1.202319
 0.082000, 1.202318
 0.083000, 1.202319
 0.084000, 1.202319
 0.085000, 1.202319
 0.086000, 1.202319
 0.087000, 1.202318
 0.088000, 1.202319
 0.089000, 1.202318
 0.090000, 1.202319
 0.091000, 1.202319
 0.092000, 1.202318
 0.093000, 1.202319
 0.094000, 1.202318
 0.095000, 1.202319
 0.096000, 1.202318
 0.097000, 1.202318
 0.098000, 1.202319
 0.099000, 1.202318
 0.100000, 1.202319
 0.101000, 1.202318
 0.102000, 1.202318
 0.103000, 1.202318
 0.104000, 1.202318
 0.105000, 1.202318
 0.106000, 1.202318
 0.107000, 1.202318
 0.108000, 1.202318
 0.109000, 1.202318
 0.110000, 1.202318
 0.111000, 1.202318
 0.112000, 1.202317
 0.113000, 1.202318
 0.114000, 1.202318
 0.115000, 1.202318
 0.116000, 1.202318
 0.117000, 1.202318
 0.118000, 1.202318
 0.119000, 1.202317
 0.120000, 1.202318
 0.121000, 1.202318
 0.122000, 1.202318
 0.123000, 1.202318
 0.124000, 1.202317
 0.125000, 1.202318
 0.126000, 1.202317
 0.127000, 1.202318
 0.128000, 1.202318
 0.129000, 1.202317
 0.130000, 1.202318
 0.131000, 1.202317
 0.132000, 1.202318
 0.133000, 1.202317
 0.134000, 1.202317
 0.135000, 1.202317
 0.136000, 1.202317
 0.137000, 1.202318
 0.138000, 1.202317
 0.139000, 1.202317
 0.140000, 1.202317
 0.141000, 1.202317
 0.142000, 1.202317
 0.143000, 1.202317
 0.144000, 1.202317
 0.145000, 1.202317
 0.146000, 1.202317
 0.147000, 1.202317
 0.148000, 1.202317
 0.149000, 1.202317
 0.150000, 1.202317
 0.151000, 1.202317
 0.152000, 1.202317
 0.153000, 1.202317
 0.154000, 1.202317
 0.155000, 1.202317
 0.156000, 1.202317
 0.157000, 1.202317
 0.158000, 1.202317
 0.159000, 1.202317
 0.160000, 1.202317
 0.161000, 1.202316
 0.162000, 1.202317
 0.163000, 1.202317
 0.164000, 1.202317
 0.165000, 1.202317
 0.166000, 1.202317
 0.167000, 1.202317
 0.168000, 1.202317
 0.169000, 1.202317
 0.170000, 1.202317
 0.171000, 1.202317
 0.172000, 1.202317
 0.173000, 1.202317
 0.174000, 1.202317
 0.175000, 1.202317
 0.176000, 1.202317
 0.177000, 1.202317
 0.178000, 1.202317
 0.179000, 1.202317
 0.180000, 1.202317
 0.181000, 1.202317
 0.182000, 1.202317
 0.183000, 1.202317
 0.184000, 1.202317
 0.185000, 1.202317
 0.186000, 1.202316
 0.187000, 1.202317
 0.188000, 1.202316
 0.189000, 1.202317
 0.190000, 1.202317
 0.191000, 1.202316
 0.192000, 1.202317
 0.193000, 1.202316
 0.194000, 1.202317
 0.195000, 1.202316
 0.196000, 1.202316
 0.197000, 1.202317
 0.198000, 1.202316
 0.199000, 1.202317
 0.200000, 1.202316
 0.201000, 1.202316
 0.202000, 1.202316
 0.203000, 1.202316
 0.204000, 1.202317
 0.205000, 1.202316
 0.206000, 1.202316
 0.207000, 1.202316
 0.208000, 1.202316
 0.209000, 1.202316
 0.210000, 1.202316
 0.211000, 1.202316
 0.212000, 1.202316
 0.213000, 1.202316
 0.214000, 1.202316
 0.215000, 1.202316
 0.216000, 1.202316
 0.217000, 1.202316
